system_type,component,operational_hours,ambient_temperature,component_temperature,vibration,power_output,efficiency,fault_count_30d,maintenance_delay_days,weather_severity_index,degradation_rate,failure,remaining_useful_life_days
Solar,Inverter,34901,25,43,0.66,718,76.7,6,28,2,0.74,1,13
Solar,Inverter,16085,25,70,0.32,766,93.2,1,4,1,0.1,0,340
Solar,Inverter,34456,36,59,0.36,326,86.1,1,1,4,0.28,0,208
Wind,Blade,34472,29,39,8.38,865,59.5,7,20,8,0.85,1,27
Wind,Gearbox,29661,35,68,5.35,1747,78.4,10,18,5,0.95,1,29
Solar,Inverter,15828,33,50,1.27,1173,63.8,10,28,2,0.61,1,31
Wind,Bearing,31915,20,51,5.3,1725,75.0,6,23,4,0.82,1,52
Wind,Blade,41238,38,57,8.98,1491,58.2,5,6,4,0.46,1,58
Solar,Panel,45253,35,45,0.79,1121,56.2,4,17,3,0.91,1,10
Wind,Bearing,38921,41,73,2.32,1055,87.6,1,4,6,0.28,0,292
Wind,Blade,16250,40,61,7.72,1517,74.5,4,29,8,0.71,1,26
Wind,Gearbox,37022,21,44,2.4,1193,95.4,0,5,4,0.2,0,157
Wind,Gearbox,31152,36,54,3.29,1101,86.2,1,2,5,0.14,0,188
Solar,Panel,13226,42,54,0.24,790,85.6,0,1,10,0.17,0,349
Wind,Blade,36729,47,85,1.68,1378,93.7,2,2,9,0.13,0,316
Solar,Panel,41367,35,61,0.17,646,90.0,0,2,6,0.18,0,168
Solar,Panel,41896,25,62,0.61,1041,57.1,10,22,3,0.72,1,15
Wind,Gearbox,47100,38,74,3.06,1442,91.6,2,1,6,0.18,0,166
Solar,Panel,47334,38,83,0.18,1164,87.3,2,4,5,0.26,0,189
Wind,Blade,41248,37,58,4.9,1286,68.6,6,26,2,0.67,1,6
Solar,Inverter,43099,29,58,1.46,1112,63.6,5,21,5,0.95,1,34
Wind,Gearbox,22059,44,80,2.29,865,94.9,1,4,2,0.13,0,139
Solar,Inverter,40996,33,48,0.49,313,94.8,0,0,8,0.14,0,144
Solar,Panel,26467,39,62,1.07,929,55.4,4,18,3,0.86,1,46
Solar,Panel,41580,39,72,0.11,417,91.8,1,4,3,0.24,0,127
Wind,Blade,36800,37,64,1.27,1159,95.2,0,5,5,0.2,0,225
Solar,Inverter,43531,44,62,0.63,873,72.7,9,5,2,0.76,1,58
Wind,Gearbox,13444,43,54,1.63,912,88.6,2,1,10,0.22,0,198
Solar,Panel,3430,22,61,0.36,763,92.1,0,0,10,0.31,0,208
Solar,Inverter,34469,32,68,0.56,820,94.1,1,4,4,0.33,0,226
Solar,Panel,7894,33,50,0.85,803,65.6,4,9,8,0.92,1,39
Wind,Blade,31993,30,56,3.41,1273,92.3,1,0,2,0.11,0,156
Solar,Panel,1534,46,59,0.37,774,94.1,0,5,9,0.33,0,193
Wind,Generator,41293,45,71,2.22,969,94.3,2,4,4,0.33,0,145
Solar,Panel,40232,30,70,1.19,900,62.7,7,9,5,0.92,1,65
Wind,Bearing,15796,36,72,3.43,958,94.4,1,5,3,0.17,0,153
Wind,Gearbox,6747,23,38,4.66,1274,56.4,4,10,2,0.77,1,47
Wind,Generator,19585,38,79,2.99,835,92.2,1,3,6,0.31,0,264
Solar,Inverter,20097,25,40,1.37,1197,71.1,8,17,2,0.93,1,17
Wind,Bearing,43551,39,52,2.48,1307,88.1,2,5,1,0.19,0,267
Solar,Inverter,8875,44,61,0.13,989,95.5,1,3,1,0.24,0,205
Wind,Generator,35939,44,89,4.89,1140,59.6,6,6,6,0.87,1,61
Wind,Generator,36044,26,51,1.02,1263,86.0,0,2,2,0.26,0,193
Solar,Panel,49488,29,49,1.1,773,76.9,10,10,5,0.68,1,51
Wind,Blade,49758,41,51,2.78,827,87.1,2,2,5,0.32,0,211
Wind,Generator,37062,35,75,8.3,855,75.6,3,12,2,0.53,1,14
Solar,Inverter,28049,42,53,0.62,616,75.6,7,25,8,0.93,1,75
Solar,Inverter,44252,45,79,0.31,506,92.1,1,4,8,0.35,0,207
Solar,Inverter,39962,24,41,0.36,937,87.9,1,0,4,0.15,0,284
Wind,Generator,19075,35,73,3.17,1800,85.8,2,0,7,0.28,0,223
Solar,Panel,37571,35,62,1.39,1017,78.0,7,11,3,0.82,1,65
Wind,Generator,25616,35,67,4.18,1627,60.3,5,11,3,0.68,1,8
Wind,Generator,11033,33,73,7.26,1162,67.0,10,30,7,0.41,1,61
Wind,Bearing,15212,42,86,5.94,1142,74.2,6,5,10,0.84,1,76
Wind,Blade,6494,46,64,5.52,1771,66.3,4,20,4,0.74,1,71
Wind,Blade,14469,43,84,7.46,1726,60.4,9,7,6,0.59,1,64
Solar,Panel,33407,26,45,0.19,322,94.8,2,1,3,0.19,0,310
Wind,Bearing,40513,40,51,3.18,1277,94.2,2,1,1,0.1,0,350
Solar,Inverter,33495,24,63,0.12,654,95.3,0,2,4,0.32,0,299
Solar,Panel,25944,23,49,0.28,324,88.1,0,3,4,0.11,0,134
Solar,Panel,1891,25,58,1.38,700,63.9,4,14,9,0.7,1,15
Solar,Inverter,49300,41,60,1.04,1148,57.5,3,12,4,0.5,1,33
Wind,Blade,39704,47,86,2.31,1011,91.6,0,2,10,0.27,0,202
Solar,Panel,24425,20,44,0.28,556,88.8,1,4,9,0.16,0,320
Solar,Panel,2438,21,41,0.89,850,71.0,3,5,4,0.72,1,20
Wind,Blade,18974,31,63,4.07,938,72.8,10,25,5,0.81,1,40
Solar,Panel,23926,24,49,0.35,1074,86.3,1,0,10,0.3,0,208
Solar,Panel,26633,46,70,0.57,630,92.5,0,1,8,0.33,0,241
Solar,Inverter,10869,37,59,1.22,726,57.2,7,23,8,0.42,1,76
Solar,Inverter,27717,25,38,0.79,343,67.7,10,15,2,0.81,1,72
Wind,Blade,3084,35,47,6.05,1695,79.0,7,8,7,0.47,1,50
Solar,Panel,7832,35,45,1.45,305,58.9,10,29,3,0.43,1,70
Wind,Generator,10017,24,41,2.08,1167,91.0,0,0,8,0.24,0,160
Solar,Inverter,49726,37,53,1.48,1185,57.2,8,5,10,0.51,1,21
